Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
TRON,"Jul 9, 1982",PG,3.4/5,96 minutes,Steven Lisberger,"Action & Adventure,Science Fiction & Fantasy",
Escape from New York,"Jan 1, 1981",R,3.4/5,99 minutes,John Carpenter,"Action & Adventure,Science Fiction & Fantasy",
Gallipoli,"Aug 7, 1981",PG,3.6/5,110 minutes,Peter Weir,"Art House & International,Drama",
The Evil Dead,"Oct 15, 1981",R,3.7/5,85 minutes,Sam Raimi,"Horror,Science Fiction & Fantasy",
First Blood,"Oct 1, 1982",R,3.5/5,96 minutes,Ted Kotcheff,Action & Adventure,
Star Trek II: The Wrath of Khan,"Jun 4, 1982",PG,3.8/5,113 minutes,Nicholas Meyer,"Action & Adventure,Science Fiction & Fantasy",
48 HRS,"Dec 8, 1982",R,3.2/5,96 minutes,Walter Hill,"Action & Adventure,Comedy",
Blade Runner,"Jun 25, 1982",R,4/5,114 minutes,Ridley Scott,"Drama,Science Fiction & Fantasy",
Mad Max 2: The Road Warrior,"May 21, 1982",R,3.6/5,96 minutes,George Miller,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",
Tootsie,"Dec 1, 1982",PG,3.4/5,119 minutes,Sydney Pollack,"Comedy,Drama,Romance",
Gandhi,"Dec 6, 1982",PG,4/5,191 minutes,Richard Attenborough,"Classics,Drama",
Cat People,"Apr 2, 1982",R,3/5,119 minutes,Paul Schrader,"Drama,Horror,Mystery & Suspense",
The Thing,"Jul 1, 1982",R,3.9/5,109 minutes,John Carpenter,"Horror,Science Fiction & Fantasy",
Diva,"Mar 11, 1981",R,4/5,117 minutes,Jean-Jacques Beineix,"Action & Adventure,Art House & International,Drama,Mystery & Suspense",
E.T. The Extra-Terrestrial,"Jun 11, 1982",PG,3.5/5,114 minutes,Steven Spielberg,"Kids & Family,Science Fiction & Fantasy",
Poltergeist,"Jun 4, 1982",PG,3.4/5,114 minutes,Tobe Hooper,Horror,
The Amityville Horror,"Jul 1, 1979",R,3.3/5,117 minutes,Stuart Rosenberg,Horror,
Phantasm,"Mar 28, 1979",R,3.4/5,88 minutes,Don Coscarelli,"Horror,Science Fiction & Fantasy",
The Muppet Movie,"Jan 1, 1979",G,3.5/5,98 minutes,"James Frawley,James Frawle","Kids & Family,Musical & Performing Arts",
Kramer vs. Kramer,"Dec 19, 1979",PG,3.7/5,105 minutes,Robert Benton,Drama,
Mad Max,"Apr 12, 1979",R,3.4/5,93 minutes,George Miller,"Action & Adventure,Cult Movies,Science Fiction & Fantasy",
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),"Jan 17, 1979",PG,3.8/5,107 minutes,Werner Herzog,"Art House & International,Horror",
Being There,"Dec 19, 1979",PG,4.1/5,130 minutes,Hal Ashby,"Comedy,Drama",
Apocalypse Now,,,4.1/5,,,,
Alien,"May 25, 1979",R,3.9/5,117 minutes,Ridley Scott,"Drama,Mystery & Suspense,Science Fiction & Fantasy",
Monty Python's Life of Brian,"Aug 1, 1979",R,3.9/5,92 minutes,Terry Jones,Comedy,
Manhattan,"Mar 14, 1979",R,4.1/5,96 minutes,Woody Allen,"Comedy,Drama,Romance",
Moonraker,"Jun 29, 1979",PG,3/5,136 minutes,Lewis Gilbert,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",
Superman III,"Jun 17, 1983",PG,2.7/5,125 minutes,Richard Lester,"Action & Adventure,Kids & Family,Science Fiction & Fantasy",
Flashdance,"Jan 1, 1983",R,3.1/5,94 minutes,Adrian Lyne,"Drama,Romance",
Videodrome,"Feb 4, 1983",R,3.7/5,89 minutes,David Cronenberg,"Horror,Science Fiction & Fantasy",
Scarface,"Dec 9, 1983",R,4.1/5,170 minutes,Brian DePalma,"Action & Adventure,Drama,Mystery & Suspense","$656,161"
Octopussy,"Jun 10, 1983",PG,3.1/5,131 minutes,John Glen,"Action & Adventure,Drama,Mystery & Suspense",
Dawn of the Dead,"May 24, 1979",R,3.6/5,126 minutes,George A. Romero,"Action & Adventure,Horror,Science Fiction & Fantasy",
Never Say Never Again,"Oct 7, 1983",PG,3.1/5,137 minutes,Irvin Kershner,"Action & Adventure,Mystery & Suspense",
Trading Places,"Jun 1, 1983",R,3.5/5,118 minutes,John Landis,Comedy,
The Dead Zone,"Oct 21, 1983",R,3.5/5,103 minutes,David Cronenberg,"Horror,Mystery & Suspense,Science Fiction & Fantasy",
WarGames (War Games),"Jun 3, 1983",PG,3.3/5,110 minutes,John Badham,"Action & Adventure,Drama,Mystery & Suspense",
Terms of Endearment,"Nov 23, 1983",PG,3.7/5,132 minutes,James L. Brooks,"Comedy,Drama,Romance",
The Right Stuff,"Oct 21, 1983",PG,4/5,193 minutes,Philip Kaufman,"Action & Adventure,Drama",
Eraserhead,"Jan 1, 1977",R,3.9/5,89 minutes,David Lynch,"Drama,Horror,Special Interest",
Saturday Night Fever,"Dec 19, 1977",R,3.2/5,122 minutes,"John Badham,Randal Kleiser","Classics,Drama,Musical & Performing Arts",
Annie Hall,"Apr 20, 1977",PG,3.9/5,93 minutes,Woody Allen,"Comedy,Romance",
The King of Comedy,"Jan 1, 1983",PG,3.9/5,109 minutes,Martin Scorsese,"Comedy,Drama,Mystery & Suspense",
Star Wars: Episode IV - A New Hope,"May 25, 1977",PG,4.1/5,125 minutes,George Lucas,"Action & Adventure,Drama,Science Fiction & Fantasy",
Close Encounters of the Third Kind,"Nov 15, 1977",PG,3.7/5,137 minutes,Steven Spielberg,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",
The Deer Hunter,"Dec 8, 1978",R,4.1/5,183 minutes,Michael Cimino,"Cult Movies,Drama",
Superman,"Dec 15, 1978",PG,3.5/5,142 minutes,Richard Donner,"Action & Adventure,Drama",
Cruising,"Feb 8, 1980",R,3.2/5,101 minutes,William Friedkin,"Drama,Mystery & Suspense",
National Lampoon's Vacation,"Jul 29, 1983",R,3.5/5,98 minutes,Harold Ramis,Comedy,
Heaven's Gate,"Nov 19, 1980",R,3.2/5,220 minutes,Michael Cimino,"Action & Adventure,Drama,Western",
Friday the 13th,"May 9, 1980",R,3.2/5,95 minutes,Sean S. Cunningham,Horror,
Caddyshack,"Jul 25, 1980",R,3.6/5,98 minutes,Harold Ramis,"Comedy,Special Interest",
The Last Waltz,"Apr 26, 1978",PG,4.3/5,117 minutes,Martin Scorsese,"Documentary,Musical & Performing Arts",
The Fog,"Feb 8, 1980",R,3.1/5,91 minutes,John Carpenter,Horror,
The Blues Brothers,"Jun 20, 1980",R,3.7/5,133 minutes,John Landis,"Action & Adventure,Comedy",
A Christmas Story,"Nov 18, 1983",PG,3.7/5,93 minutes,Bob Clark,"Comedy,Drama,Kids & Family",
Altered States,"Dec 25, 1980",R,3.4/5,102 minutes,Ken Russell,"Drama,Horror,Mystery & Suspense,Science Fiction & Fantasy",
The Shining,"May 23, 1980",R,4/5,145 minutes,Stanley Kubrick,"Drama,Horror,Mystery & Suspense,Special Interest",
Ordinary People,"Sep 19, 1980",R,3.8/5,124 minutes,Robert Redford,Drama,
The Big Red One,"May 28, 1980",PG,3.6/5,113 minutes,Samuel Fuller,"Action & Adventure,Drama",
Suspiria,,,3.9/5,,,,
Risky Business,"Aug 5, 1983",R,3.3/5,99 minutes,Paul Brickman,Comedy,
Raging Bull,"Dec 19, 1980",R,4.1/5,128 minutes,Martin Scorsese,Drama,
Airplane!,"Jul 2, 1980",PG,3.6/5,88 minutes,"David Zucker,Jerry Zucker,Jim Abrahams",Comedy,
Dressed to Kill,"Jan 1, 1980",R,3.5/5,105 minutes,Brian DePalma,"Drama,Horror,Mystery & Suspense",
Star Wars: Episode V - The Empire Strikes Back,"Jun 20, 1980",PG,4.1/5,124 minutes,Irvin Kershner,"Action & Adventure,Drama,Science Fiction & Fantasy","$4,548,170"
Halloween,"Oct 25, 1978",R,3.6/5,93 minutes,John Carpenter,"Horror,Mystery & Suspense",
The Elephant Man,"Oct 3, 1980",PG,4/5,123 minutes,David Lynch,Drama,
Diamonds Are Forever,"Dec 17, 1971",PG,3.4/5,121 minutes,Guy Hamilton,"Action & Adventure,Classics,Mystery & Suspense,Science Fiction & Fantasy",
McCabe & Mrs. Miller,"Jun 24, 1971",R,4/5,120 minutes,Robert Altman,"Classics,Drama,Western",
A Clockwork Orange,"Dec 19, 1971",R,4/5,137 minutes,Stanley Kubrick,"Classics,Drama,Mystery & Suspense,Science Fiction & Fantasy",
Dirty Harry,"Dec 24, 1971",R,3.8/5,103 minutes,Don Siegel,"Classics,Drama,Mystery & Suspense",
THX 1138,"Mar 11, 1971",PG,3.5/5,88 minutes,George Lucas,"Drama,Science Fiction & Fantasy",
Harold and Maude,"Dec 20, 1971",PG,4.1/5,91 minutes,Hal Ashby,"Classics,Comedy,Romance",
Fiddler on the Roof,"Nov 3, 1971",G,3.8/5,179 minutes,Norman Jewison,"Classics,Comedy,Drama,Kids & Family,Musical & Performing Arts",
Three Days of the Condor,,,3.8/5,,,,
Willy Wonka and the Chocolate Factory,"Jun 30, 1971",G,3.6/5,98 minutes,Mel Stuart,"Classics,Comedy,Drama,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy","$4,000,000"
The Last Picture Show,"Oct 22, 1971",R,4.1/5,125 minutes,Peter Bogdanovich,"Classics,Drama",
The French Connection,"Oct 9, 1971",R,3.9/5,104 minutes,William Friedkin,"Action & Adventure,Classics,Drama",
Barry Lyndon,"Jan 1, 1975",PG,4.2/5,203 minutes,Stanley Kubrick,"Classics,Drama",
One Flew Over the Cuckoo's Nest,"Nov 19, 1975",R,4.2/5,134 minutes,Milos Forman,"Classics,Drama",
The Rocky Horror Picture Show,"Sep 25, 1975",R,3.6/5,100 minutes,Jim Sharman,"Classics,Comedy,Cult Movies,Horror,Musical & Performing Arts,Science Fiction & Fantasy",
Jaws,"Jun 1, 1975",PG,3.5/5,124 minutes,Steven Spielberg,"Action & Adventure,Drama,Mystery & Suspense",
The Man Who Fell to Earth,"Mar 28, 1976",R,3.5/5,140 minutes,Nicolas Roeg,"Drama,Science Fiction & Fantasy",
Nashville,"Jun 11, 1975",R,4.1/5,157 minutes,Robert Altman,"Classics,Drama,Musical & Performing Arts",
Monty Python and the Holy Grail,"Jan 1, 1975",PG,4.1/5,92 minutes,"Terry Gilliam,Terry Jones",Comedy,
All the President's Men,"Apr 4, 1976",PG,3.9/5,138 minutes,Alan J. Pakula,"Classics,Drama,Mystery & Suspense",
Network,"Nov 27, 1976",R,4.2/5,121 minutes,Sidney Lumet,"Comedy,Drama",
Professione: reporter (The Passenger),"Feb 28, 1975",PG-13,3.9/5,126 minutes,Michelangelo Antonioni,"Art House & International,Classics,Drama,Mystery & Suspense","$495,232"
Solaris,"Oct 6, 1976",PG,4.1/5,165 minutes,Andrei Tarkovsky,"Art House & International,Drama,Science Fiction & Fantasy",
Dog Day Afternoon,"Sep 21, 1975",R,4/5,150 minutes,Sidney Lumet,"Classics,Drama",
Taxi Driver,"Feb 8, 1976",R,4.1/5,112 minutes,Martin Scorsese,"Drama,Mystery & Suspense",
Badlands,"Jan 1, 1974",PG,4.1/5,95 minutes,Terrence Malick,"Action & Adventure,Classics,Cult Movies,Drama,Mystery & Suspense",
"The Godfather, Part II","Dec 20, 1974",R,4.3/5,200 minutes,Francis Ford Coppola,"Drama,Mystery & Suspense",
Chinatown,"Jan 1, 1974",R,4.2/5,130 minutes,Roman Polanski,"Classics,Drama,Mystery & Suspense",
The Omen,"Jun 25, 1976",R,3.5/5,111 minutes,Richard Donner,"Classics,Horror,Mystery & Suspense",
On Her Majesty's Secret Service,"Dec 18, 1969",PG,3.2/5,144 minutes,Peter Hunt,"Action & Adventure,Mystery & Suspense,Romance",
Carrie,"Nov 16, 1976",R,3.4/5,98 minutes,Brian DePalma,Horror,
Rocky,"Nov 21, 1976",PG,3.2/5,119 minutes,John G. Avildsen,"Drama,Sports & Fitness",
Midnight Cowboy,"May 25, 1969",R,3.9/5,113 minutes,John Schlesinger,"Classics,Drama",
True Grit,"Jun 11, 1969",G,3.8/5,128 minutes,Henry Hathaway,"Classics,Western",
Z,"Feb 26, 1969",PG,4.3/5,128 minutes,Costa-Gavras,"Art House & International,Drama,Mystery & Suspense",
Easy Rider,"Jan 1, 1969",R,3.7/5,95 minutes,Dennis Hopper,"Action & Adventure,Drama",
Assault on Precinct 13,"Nov 5, 1976",R,3.6/5,91 minutes,John Carpenter,"Action & Adventure,Drama,Mystery & Suspense",
Pierrot le Fou (Pierrot Goes Wild) (Crazy Pete),"Jan 8, 1969",NR,4.1/5,110 minutes,Jean-Luc Godard,"Art House & International,Classics,Drama,Special Interest",
Army of Shadows (L'Armée des ombres),"Sep 12, 1969",NR,4.4/5,140 minutes,Jean-Pierre Melville,"Art House & International,Drama",
Belle de Jour,"Apr 10, 1968",R,4/5,105 minutes,Luis Buñuel,Drama,
Butch Cassidy and the Sundance Kid,"Oct 24, 1969",PG,4/5,110 minutes,George Roy Hill,"Action & Adventure,Classics,Western",
Barbarella,"Oct 10, 1968",PG,3/5,98 minutes,Roger Vadim,"Action & Adventure,Science Fiction & Fantasy",
The Wild Bunch,"Jun 18, 1969",R,4.1/5,145 minutes,Sam Peckinpah,"Action & Adventure,Drama,Western",
The Young Girls of Rochefort (Les Demoiselles de Rochefort),"Apr 11, 1968",G,3.9/5,124 minutes,Jacques Demy,"Art House & International,Classics,Musical & Performing Arts,Romance",
Yellow Submarine,"Nov 13, 1968",G,3.6/5,87 minutes,George Dunning,"Action & Adventure,Animation,Comedy,Cult Movies,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy",
Funny Girl,"Sep 19, 1968",G,3.7/5,155 minutes,William Wyler,"Classics,Comedy,Drama,Musical & Performing Arts",
Rosemary's Baby,"Jun 12, 1968",R,3.8/5,136 minutes,Roman Polanski,"Classics,Horror,Mystery & Suspense",
Once Upon a Time in the West,"Dec 21, 1968",PG-13,4.3/5,165 minutes,Sergio Leone,"Action & Adventure,Drama,Western",
The Producers,"Jun 1, 1968",PG,3.7/5,90 minutes,Mel Brooks,"Classics,Comedy",
Five Easy Pieces,"Sep 12, 1970",R,3.9/5,98 minutes,Bob Rafelson,"Classics,Drama,Musical & Performing Arts",
Le Cercle Rouge,"Jan 1, 1970",R,4.2/5,100 minutes,Jean-Pierre Melville,"Art House & International,Drama,Mystery & Suspense",
Patton,"Apr 2, 1970",PG,4/5,170 minutes,Franklin J. Schaffner,"Classics,Drama",
Planet of the Apes,"Apr 3, 1968",G,3.5/5,112 minutes,Franklin J. Schaffner,"Classics,Science Fiction & Fantasy",
M*A*S*H,"Dec 31, 1970",PG,3.7/5,116 minutes,Robert Altman,"Classics,Comedy",
The Conformist,"Oct 22, 1970",R,4.3/5,115 minutes,Bernardo Bertolucci,"Art House & International,Drama",
El Topo,,,4/5,,,,
Deliverance,"Jul 21, 1972",R,3.6/5,109 minutes,John Boorman,"Classics,Drama",
2001: A Space Odyssey,"Apr 3, 1968",G,3.8/5,139 minutes,Stanley Kubrick,"Classics,Science Fiction & Fantasy","$135,620"
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),"Sep 15, 1972",PG,4.1/5,101 minutes,Luis Buñuel,"Art House & International,Comedy,Drama,Science Fiction & Fantasy,Special Interest",
The Godfather,"Mar 24, 1972",R,4.4/5,175 minutes,Francis Ford Coppola,Drama,
Night of the Living Dead,"Oct 1, 1968",R,3.8/5,90 minutes,George A. Romero,"Classics,Cult Movies,Horror",
The Exorcist,"Dec 26, 1973",R,3.7/5,122 minutes,William Friedkin,"Classics,Horror",
"What's Up, Doc?","Mar 9, 1972",G,4/5,94 minutes,Peter Bogdanovich,"Classics,Comedy,Romance",
The Wicker Man,"Dec 1, 1973",R,3.6/5,88 minutes,Robin Hardy,"Classics,Drama,Horror,Mystery & Suspense",
Ziggy Stardust and the Spiders from Mars,"Dec 1, 1973",PG,4.1/5,91 minutes,D.A. Pennebaker,"Documentary,Musical & Performing Arts,Special Interest",
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)","Dec 29, 1972",R,4.2/5,90 minutes,Werner Herzog,"Action & Adventure,Art House & International,Drama",
Don't Look Now,"Dec 9, 1973",R,3.7/5,110 minutes,Nicolas Roeg,"Classics,Horror,Mystery & Suspense",
American Graffiti,"Aug 1, 1973",PG,3.6/5,113 minutes,George Lucas,"Comedy,Drama",
Enter the Dragon,"Jul 26, 1973",R,3.9/5,102 minutes,Robert Clouse,"Action & Adventure,Classics,Drama",
Mean Streets,"Jan 1, 1973",R,3.9/5,112 minutes,Martin Scorsese,"Classics,Drama",
Playtime,"Jun 27, 1973",NR,4.2/5,145 minutes,Jacques Tati,"Art House & International,Comedy",
The Sting,"Dec 1, 1973",PG,4.1/5,129 minutes,George Roy Hill,"Classics,Comedy,Drama",
Big,"Jan 1, 1988",PG,3.5/5,98 minutes,Penny Marshall,"Comedy,Kids & Family,Science Fiction & Fantasy",
Howard the Duck,"Aug 1, 1986",PG,2.6/5,101 minutes,Willard Hyuck,"Action & Adventure,Comedy,Science Fiction & Fantasy,Romance",
Star Trek V - The Final Frontier,"Jun 9, 1989",PG,2.8/5,106 minutes,William Shatner,"Action & Adventure,Science Fiction & Fantasy",
Tango & Cash,"Dec 22, 1989",R,3/5,98 minutes,Andrey Konchalovskiy,"Action & Adventure,Comedy,Drama",
Superman IV: The Quest for Peace,"Jul 24, 1987",PG,2.4/5,91 minutes,Sidney J. Furie,"Action & Adventure,Science Fiction & Fantasy",
Ishtar,,,2.4/5,,,,
Spy Hard,"May 24, 1996",PG-13,2.5/5,80 minutes,Rick Friedberg,"Action & Adventure,Comedy",
Striptease,"Jun 28, 1996",R,2.4/5,115 minutes,,"Comedy,Drama,Mystery & Suspense",
Daylight,"Dec 6, 1996",PG-13,2.8/5,115 minutes,Rob Cohen,"Action & Adventure,Drama",
Hocus Pocus,"Jul 16, 1993",PG,3.1/5,95 minutes,Kenny Ortega,"Comedy,Kids & Family,Science Fiction & Fantasy",
The Living Daylights,"Jun 29, 1987",PG,3.2/5,130 minutes,John Glen,"Action & Adventure,Mystery & Suspense",
Hellraiser,"Sep 18, 1987",R,3.5/5,94 minutes,Clive Barker,Horror,
Brotherhood of the Wolf,"Oct 11, 2001",R,3.5/5,143 minutes,Christophe Gans,"Action & Adventure,Drama,Horror","$10,793,478"
Four Rooms,"Dec 26, 1996",R,3.4/5,102 minutes,"Allison Anders,Robert Rodriguez,Alexandre Rockwell,Quentin Tarantino",Comedy,
Jimmy Neutron - Boy Genius,"Dec 21, 2001",G,2.8/5,87 minutes,John A. Davis,"Animation,Kids & Family,Science Fiction & Fantasy","$80,865,848"
Rising Sun,"Jul 30, 1993",R,2.9/5,129 minutes,Philip Kaufman,"Action & Adventure,Drama,Mystery & Suspense",
Indecent Proposal,"Apr 7, 1993",R,2.9/5,117 minutes,Adrian Lyne,Drama,
Faithless,"Jan 26, 2001",R,3.9/5,154 minutes,Liv Ullmann,"Art House & International,Drama",
Road House,"May 19, 1989",R,3.2/5,114 minutes,Rowdy Herrington,"Action & Adventure,Mystery & Suspense",
"Monsters, Inc.","Nov 2, 2001",G,3.8/5,92 minutes,"Pete Docter,David Silverman,Lee Unkrich","Animation,Comedy,Kids & Family,Science Fiction & Fantasy","$34,034,168"
Frida,"Oct 25, 2002",R,3.7/5,122 minutes,Julie Taymor,"Drama,Romance","$25,681,203"
11'09''01 - September 11,"Sep 11, 2002",NR,3.5/5,135 minutes,"Samira Makhmalbaf,Idrissa Ouedraogo,Mira Nair,Claude Lelouch,Youssef Chahine,Danis Tanovic,Ken Loach,Alejandro González Iñárritu,Amos Gitai,Sean Penn,Shohei Imamura","Art House & International,Drama,Special Interest",
Comedian,"Oct 11, 2002",R,3.4/5,100 minutes,Christian Charles,"Comedy,Documentary","$2,683,160"
My Big Fat Greek Wedding,"Apr 19, 2002",PG,3.2/5,95 minutes,Joel Zwick,"Comedy,Romance","$241,250,669"
Igby Goes Down,"Sep 13, 2002",R,3.4/5,104 minutes,Burr Steers,"Comedy,Drama,Romance","$4,624,014"
Warm Water Under a Red Bridge (Akai Hashi No Shita Noo Nurui Mizu),"May 3, 2002",NR,3.6/5,119 minutes,Shohei Imamura,"Art House & International,Comedy,Drama,Science Fiction & Fantasy,Romance",
Wilde,"May 1, 1998",R,3.5/5,117 minutes,Brian Gilbert,Drama,
Signs,"Aug 2, 2002",PG-13,3.2/5,106 minutes,M. Night Shyamalan,"Mystery & Suspense,Science Fiction & Fantasy","$227,935,522"
Secretary,"Sep 20, 2002",R,3.7/5,112 minutes,Steven Shainberg,"Art House & International,Comedy,Drama,Romance","$3,806,471"
Gangs of New York,"Dec 20, 2002",R,3.5/5,166 minutes,Martin Scorsese,"Classics,Drama","$77,605,296"
Panic Room,"Mar 29, 2002",R,3.1/5,112 minutes,David Fincher,"Drama,Mystery & Suspense","$95,308,367"
The Dangerous Lives of Altar Boys,,,3.6/5,,,,
Undercover Brother,"May 31, 2002",PG-13,2.8/5,86 minutes,Malcolm D. Lee,Comedy,"$38,230,435"
Changing Lanes,"Apr 12, 2002",R,3/5,98 minutes,Roger Michell,"Action & Adventure,Drama,Mystery & Suspense","$66,650,688"
Spider,"May 21, 2002",R,3.4/5,98 minutes,David Cronenberg,"Art House & International,Drama,Mystery & Suspense","$1,278,369"
8 Mile,"Nov 8, 2002",R,3.1/5,111 minutes,Curtis Hanson,Drama,"$116,638,030"
Return to Paradise,"Aug 14, 1998",R,3.5/5,112 minutes,Joseph Ruben,"Drama,Mystery & Suspense",
Ice Age,"Mar 15, 2002",PG,3.6/5,80 minutes,"Chris Wedge,Carlos Saldanha","Animation,Comedy,Kids & Family","$176,400,000"
Tadpole,"Jul 19, 2002",PG-13,3.1/5,78 minutes,Gary Winick,"Art House & International,Comedy,Drama,Romance","$2,882,062"
Last Orders,"Feb 15, 2002",R,3.4/5,109 minutes,Fred Schepisi,"Art House & International,Comedy,Drama","$2,197,234"
Tully,"Nov 1, 2002",R,3.6/5,102 minutes,"Hillary Birmingham,Hilary Birmingham","Art House & International,Drama",
Gigantic,"Mar 10, 2002",NR,4/5,102 minutes,AJ Schnack,"Documentary,Musical & Performing Arts",
The Wild Thornberrys Movie,"Dec 20, 2002",PG,2.8/5,85 minutes,"Cathy Malkasian,Jeff McGrath","Animation,Kids & Family","$39,766,440"
Biggie and Tupac,"Jan 11, 2002",R,3.7/5,107 minutes,Nick Broomfield,"Documentary,Drama,Musical & Performing Arts,Special Interest",
Sunshine State,"Jun 21, 2002",PG-13,3.1/5,141 minutes,John Sayles,Drama,"$2,836,157"
Drumline,"Dec 13, 2002",PG-13,3.2/5,118 minutes,Charles Stone III,"Comedy,Drama","$56,178,945"
8 Women (8 Femmes),,,3.6/5,,,,
Better Luck Tomorrow,"Apr 11, 2002",R,3.7/5,99 minutes,Justin Lin,"Action & Adventure,Drama","$3,687,324"
Stuart Little 2,"Jul 19, 2002",PG,2.7/5,75 minutes,Rob Minkoff,"Action & Adventure,Comedy,Kids & Family,Science Fiction & Fantasy","$64,736,114"
Pauline & Paulette,"Mar 15, 2002",PG,3.8/5,78 minutes,Lieven Debrauwer,"Art House & International,Drama",
Satin Rouge,"Aug 30, 2002",NR,3.5/5,100 minutes,Raja Amari,"Art House & International,Comedy,Drama,Musical & Performing Arts",
Antwone Fisher,"Dec 19, 2002",PG-13,3.6/5,120 minutes,Denzel Washington,Drama,"$20,813,967"
Secret Ballot,"Aug 9, 2002",G,3.4/5,105 minutes,Babak Payami,"Art House & International,Comedy,Drama",
The Hours,"Dec 27, 2002",PG-13,3.7/5,115 minutes,Stephen Daldry,Drama,"$41,465,765"
Nicholas Nickleby,"Dec 27, 2002",PG,3.6/5,132 minutes,Douglas McGrath,Drama,"$1,309,849"
La Stanza del Figlio (The Son's Room),"Feb 8, 2002",R,3.8/5,87 minutes,Nanni Moretti,"Art House & International,Drama","$737,565"
Punch-Drunk Love,"Oct 11, 2002",R,3.3/5,95 minutes,Paul Thomas Anderson,"Comedy,Drama,Romance","$17,800,000"
The Believer,"Apr 1, 2002",R,3.8/5,98 minutes,Henry Bean,Drama,
Morvern Callar,,,3.6/5,,,,
Real Women Have Curves,"Oct 18, 2002",PG-13,3.6/5,93 minutes,Patricia Cardoso,"Art House & International,Comedy,Drama","$5,677,043"
Kissing Jessica Stein,"Mar 13, 2002",R,3.2/5,94 minutes,Charles Herman-Wurmfeld,"Comedy,Romance","$6,960,929"
